datetime,A Bus Voltage,A Current,Set Voltage,digital intput
2023-05-19 14:24:45.603396,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:45.624148,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:45.644798,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:45.867509,0.87 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:45.882483,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:45.907926,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:45.929052,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:45.950795,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:45.976858,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:45.998454,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:46.195063,0.94 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:46.205896,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.224986,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.243685,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.265304,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.282855,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.301642,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.522840,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.532782,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.548646,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.570761,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.594456,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.621525,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.643741,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.850562,0.91 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.861532,0.91 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.877514,0.91 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.896069,0.91 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.915347,0.91 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.935376,0.91 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:46.954302,0.91 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.178301,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.189514,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.207091,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.225036,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.246850,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.267380,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.294686,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.506077,0.87 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:47.520189,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.540660,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.559221,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.581010,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.599370,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.618389,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.833637,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.844099,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.861823,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.881231,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.900922,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.923052,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:47.973383,0.96 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:48.161334,0.86 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:48.172760,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:48.192652,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:48.213349,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:48.236218,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:48.257008,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:48.279397,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:48.488920,0.93 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:48.499826,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.516855,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.534409,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.554707,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.576247,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.596887,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.816553,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.827285,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.844283,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.864032,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.882909,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.904278,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:48.924280,0.92 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.144122,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.154121,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.175246,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.195739,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.217455,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.235502,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.254554,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.471886,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.482991,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.498457,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.516905,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.536292,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.554700,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.575074,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.799552,0.86 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:49.810013,0.86 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:49.827189,0.86 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:49.846984,0.86 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:49.866941,0.86 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:49.886671,0.86 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:49.906257,0.86 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:50.127299,0.94 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:50.140682,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:50.159348,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:50.178308,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:50.200455,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:50.219830,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:50.240740,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:50.454934,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:50.465702,0.88 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:50.482945,0.88 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:50.501372,0.88 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:50.518960,0.88 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:50.540173,0.88 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:50.560193,0.88 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:50.782578,0.92 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:50.795839,0.92 V,-0.60 mA,0.50,618.65
2023-05-19 14:24:50.817100,0.92 V,-0.60 mA,0.50,618.65
2023-05-19 14:24:50.841619,0.92 V,-0.60 mA,0.50,618.65
2023-05-19 14:24:50.864526,0.92 V,-0.60 mA,0.50,618.65
2023-05-19 14:24:50.885950,0.92 V,-0.60 mA,0.50,618.65
2023-05-19 14:24:50.905969,0.92 V,-0.60 mA,0.50,618.65
2023-05-19 14:24:51.110325,0.92 V,-0.60 mA,0.50,618.65
2023-05-19 14:24:51.121099,0.92 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.139353,0.92 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.159118,0.92 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.181700,0.92 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.201016,0.92 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.223831,0.92 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.438025,0.87 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.449277,0.87 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:51.465932,0.87 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:51.489242,0.87 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:51.515645,0.87 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:51.543400,0.87 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:51.566327,0.87 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:51.765902,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:51.776930,0.95 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.795344,0.95 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.814482,0.95 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.835941,0.95 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.853749,0.95 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:51.873362,0.95 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:52.093454,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:52.107618,0.86 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:52.128483,0.86 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:52.149098,0.86 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:52.171032,0.86 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:52.189808,0.86 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:52.211635,0.86 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:52.421023,0.93 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:52.431945,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.448329,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.467257,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.486327,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.504557,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.522600,0.93 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.748878,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.760031,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.779781,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.799415,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.820588,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.838393,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:52.857970,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.076475,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.087637,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.105171,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.124843,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.144193,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.166754,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.185201,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.404588,0.96 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:53.418904,0.96 V,-0.30 mA,0.50,618.65
