datetime,A Bus Voltage,A Current,Feed voltage in,Recirculation voltage in,Feed voltage set
2023-08-15 18:28:07.613908,0.00 V,108.40 mA,0.00,0.20,-2.80
2023-08-15 18:28:13.658709,0.00 V,46.60 mA,0.00,0.20,-2.80
2023-08-15 18:28:19.702934,0.00 V,51.00 mA,0.00,0.20,-2.80
2023-08-15 18:28:25.746547,0.00 V,54.30 mA,0.00,0.20,-2.80
2023-08-15 18:28:32.789817,0.00 V,52.20 mA,0.00,0.20,-2.80
2023-08-15 18:28:38.834033,0.00 V,112.90 mA,0.00,0.20,-2.80
2023-08-15 18:28:44.878380,0.00 V,99.30 mA,0.00,0.20,-2.80
2023-08-15 18:28:50.922581,0.00 V,84.90 mA,0.00,0.20,-2.80
2023-08-15 18:28:56.966402,0.00 V,102.10 mA,0.00,0.20,-2.80
2023-08-15 18:29:04.010148,0.39 V,108.20 mA,0.00,0.20,-2.80
2023-08-15 18:29:10.053985,32.00 V,120.20 mA,0.00,0.20,-2.80
2023-08-15 18:29:16.097679,5.02 V,120.50 mA,0.00,0.20,-2.80
2023-08-15 18:29:22.142022,0.00 V,120.20 mA,0.00,0.20,-2.80
2023-08-15 18:29:28.185556,0.00 V,59.20 mA,0.00,0.20,-2.80
2023-08-15 18:29:35.228808,1.03 V,120.10 mA,0.00,0.20,-2.80
2023-08-15 18:29:41.272779,0.38 V,53.80 mA,0.00,0.20,-2.80
2023-08-15 18:29:47.291311,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:29:53.291493,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:30:02.290673,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:30:09.288828,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:30:18.287197,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:30:24.287266,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:30:33.285192,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:30:40.283715,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:30:46.284159,0.38 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:30:52.310077,1.00 V,61.10 mA,0.00,0.20,-2.80
2023-08-15 18:31:52.438925,1.19 V,61.00 mA,0.00,0.20,-2.80
2023-08-15 18:31:58.482828,0.00 V,60.60 mA,0.00,0.20,-2.80
2023-08-15 18:32:04.527157,13.61 V,55.90 mA,0.00,0.20,-2.80
2023-08-15 18:32:10.571591,1.08 V,61.10 mA,0.00,0.20,-2.80
2023-08-15 18:32:16.616245,0.00 V,60.50 mA,0.00,0.20,-2.80
2023-08-15 18:32:23.659306,1.21 V,33.80 mA,0.00,0.20,-2.80
2023-08-15 18:32:29.703108,1.12 V,61.20 mA,0.00,0.20,-2.80
2023-08-15 18:32:35.746462,0.00 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:32:41.790618,0.38 V,50.60 mA,0.00,0.20,-2.80
2023-08-15 18:33:48.264564,0.34 V,56.50 mA,0.00,0.20,-2.80
2023-08-15 18:33:54.308999,1.13 V,60.90 mA,0.00,0.20,-2.80
2023-08-15 18:34:00.353881,0.00 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:34:06.398301,0.00 V,25.00 mA,0.00,0.20,-2.80
2023-08-15 18:34:12.442452,0.95 V,61.40 mA,0.00,0.20,-2.80
2023-08-15 18:34:19.486820,9.78 V,25.50 mA,0.00,0.20,-2.80
2023-08-15 18:34:25.531480,0.96 V,61.50 mA,0.00,0.20,-2.80
2023-08-15 18:34:31.575925,0.00 V,25.30 mA,0.00,0.20,-2.80
2023-08-15 18:34:37.620802,32.00 V,60.50 mA,0.00,0.20,-2.80
2023-08-15 18:34:43.664966,0.00 V,60.70 mA,0.00,0.20,-2.80
2023-08-15 18:34:50.682488,0.00 V,57.40 mA,0.50,0.20,618.65
2023-08-15 18:34:59.681526,0.00 V,57.40 mA,0.50,0.20,618.65
2023-08-15 18:35:08.680469,0.00 V,57.40 mA,0.50,0.20,618.65
2023-08-15 18:35:14.683255,13.79 V,57.40 mA,0.50,0.20,618.65
2023-08-15 18:35:21.726802,1.13 V,61.30 mA,0.50,0.20,618.65
2023-08-15 18:35:27.771006,0.61 V,60.90 mA,0.50,0.20,618.65
2023-08-15 18:35:33.814907,0.00 V,60.70 mA,0.50,0.20,618.65
2023-08-15 18:35:39.859549,0.00 V,29.90 mA,0.50,0.20,618.65
2023-08-15 18:35:45.903714,32.00 V,60.70 mA,0.50,0.20,618.65
2023-08-15 18:35:52.947344,0.00 V,60.80 mA,0.50,0.20,618.65
2023-08-15 18:35:58.991411,0.00 V,23.40 mA,0.50,0.20,618.65
2023-08-15 18:36:05.035995,5.21 V,61.10 mA,0.50,0.20,618.65
2023-08-15 18:36:11.080008,0.00 V,60.40 mA,0.50,0.20,618.65
2023-08-15 18:36:17.123706,0.00 V,29.60 mA,0.50,0.20,618.65
2023-08-15 18:36:24.167469,5.00 V,60.80 mA,0.50,0.20,618.65
2023-08-15 18:36:30.211860,0.00 V,61.00 mA,0.50,0.20,618.65
2023-08-15 18:36:36.256546,0.00 V,23.20 mA,0.50,0.20,618.65
2023-08-15 18:38:25.018639,32.00 V,60.80 mA,0.50,0.20,618.65
2023-08-15 18:38:31.061326,32.00 V,61.60 mA,0.50,0.20,618.65
2023-08-15 18:38:37.104199,16.33 V,61.30 mA,0.50,0.20,618.65
2023-08-15 18:38:43.147420,9.51 V,62.70 mA,0.50,0.20,618.65
2023-08-15 18:38:49.191456,1.14 V,61.30 mA,0.50,0.20,618.65
2023-08-15 18:38:56.234009,1.08 V,60.70 mA,0.00,0.20,-2.80
2023-08-15 18:39:02.277509,0.96 V,60.50 mA,0.00,0.20,-2.80
2023-08-15 18:39:08.321140,0.00 V,60.40 mA,0.00,0.20,-2.80
2023-08-15 18:39:14.365017,0.00 V,57.00 mA,0.00,0.20,-2.80
2023-08-15 18:39:20.407982,0.00 V,30.10 mA,0.00,0.20,-2.80
2023-08-15 18:39:27.450317,1.11 V,60.70 mA,0.50,0.20,618.65
2023-08-15 18:39:33.493147,0.00 V,60.80 mA,0.50,0.20,618.65
2023-08-15 18:39:39.536496,32.00 V,55.00 mA,0.50,0.20,618.65
2023-08-15 18:39:45.580145,0.64 V,61.10 mA,0.50,0.20,618.65
2023-08-15 18:39:51.623483,0.64 V,29.60 mA,0.50,0.20,618.65
2023-08-15 18:39:58.665284,0.00 V,60.60 mA,0.50,0.20,618.65
2023-08-15 18:40:04.708906,1.12 V,60.80 mA,0.50,0.20,618.65
2023-08-15 18:40:10.752975,0.00 V,44.70 mA,0.50,0.20,618.65
2023-08-15 18:40:16.770805,0.00 V,53.30 mA,0.50,0.20,618.65
2023-08-15 18:40:22.813499,1.07 V,60.90 mA,0.50,0.20,618.65
2023-08-15 18:40:29.856589,23.48 V,25.40 mA,0.00,0.20,-2.80
2023-08-15 18:40:35.897148,1.10 V,60.80 mA,0.00,0.20,-2.80
2023-08-15 18:40:41.940419,1.14 V,60.70 mA,0.00,0.20,-2.80
2023-08-15 18:40:47.983948,0.00 V,47.20 mA,0.00,0.20,-2.80
2023-08-15 18:40:54.027839,32.00 V,120.10 mA,0.00,0.20,-2.80
2023-08-15 18:41:01.071310,1.08 V,120.20 mA,0.00,0.20,-2.80
2023-08-15 18:41:07.114841,1.10 V,120.00 mA,0.00,0.20,-2.80
2023-08-15 18:41:13.158454,4.64 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:41:19.202793,25.36 V,120.70 mA,0.00,0.20,-2.80
2023-08-15 18:41:25.247096,0.00 V,120.00 mA,0.00,0.20,-2.80
2023-08-15 18:41:32.290871,0.56 V,50.70 mA,0.00,0.20,-2.80
2023-08-15 18:41:38.335359,32.00 V,120.20 mA,0.00,0.20,-2.80
2023-08-15 18:41:44.379489,0.60 V,60.40 mA,0.00,0.20,-2.80
2023-08-15 18:41:50.424052,0.00 V,53.10 mA,0.00,0.20,-2.80
